cve_ent,poblacion,nombre,casos
12008,8914,Atenango del Rio,32
7060,13773,Ocotepec,3
12011,62574,Atoyac de Alvarez,915
12012,70242,Ayutla de los Libres,887
12014,15926,Benito Juarez,296
12015,13737,Buenavista de Cuellar,146
12016,12661,Coahuayutla de Jose Maria Izazaga,26
12017,14050,Cocula,197
12018,14641,Copala,204
12019,15096,Copalillo,38
12020,20779,Copanatoyac,35
12021,78931,Coyuca de Benitez,447
12022,40408,Coyuca de Catalan,500
12023,27919,Cuajinicuilapa,363
14041,6197,Huejucar,84
26013,1797,Banamichi,44
18002,17226,Ahuacatlan,236
7063,4110,Osumacinta,3
7064,51731,Oxchuc,15
7065,131491,Palenque,378
7066,24107,Pantelho,11
7067,13370,Pantepec,5
7068,34340,Pichucalco,249
7069,58167,Pijijiapan,74
12053,50859,San Marcos,369
12054,28289,San Miguel Totolapan,171
7073,10564,Rayon,4
7074,49480,Reforma,483
7075,30874,Las Rosas,27
7076,29348,Sabanilla,18
7077,68779,Salto de Agua,47
7078,231345,San Cristobal de las Casas,940
7079,42939,San Fernando,84
7080,39536,Siltepec,21
7081,48046,Simojovel,20
7082,15524,Sitala,3
7083,20161,Socoltenango,24
